4
PersonName;String;12;false;
PersonAge;String;12;false;
CityId;int;8;false;
personId;int;8;false;
CANTIDAD DE REGISTROS: 10000
CABEZA DE AVAILIST:NULL
_


Nicole|69|66311771|67314088|
Valeria|23|42525929|58910270|
Santiago|7|72309453|62452676|
Natalia|49|63130289|84964722|
Adrián|43|38482394|43840435|
Regina|41|698532|11782298|
Valeria|54|5744778|70399061|
Samantha|40|14739766|82895663|
Andrés|71|59312895|84976970|
Isabella|0|36499023|15008329|
Samantha|69|54577151|17792171|
Samuel|71|2426160|36118967|
Matías|40|64828045|30402969|
Victoria|11|35521013|49954230|
Diego|78|8064580|58497431|
Sofía|66|64075075|31746524|
Emiliano|61|9669882|16156506|
Andrés|1|53824245|2418720|
María|8|25275477|13616832|
Lucía|74|67679835|56187475|
María|18|6228544|76897658|
Regina|0|29498481|45696657|
Carlos|17|13807434|71717641|
Mía|65|50063297|12400233|
Camila|74|66860972|56385299|
Emily|11|28641374|62428444|
Valeria|52|23792600|7893656|
María|36|74910036|4842068|
Lucía|18|33823352|42890609|
Lucas|77|27564213|49849650|
Isabella|60|49666428|19075291|
Victoria|64|78059850|59199648|
Lucas|31|12339026|23892495|
Andrea|20|8827161|77157231|
Camila|37|55097221|57502329|
Andrea|78|71876021|16983496|
Fernanda|29|77761359|51164589|
Alejandro|78|716840|86720141|
Sofía|43|43870121|63491051|
Fernanda|33|42330559|35768576|
Camila|71|62125905|27925188|
Regina|30|46008989|44433988|
Ángel|54|65914749|44535581|
Tomás|63|60017945|82932193|
Natalia|32|42609966|24247467|
Valeria|70|78460279|16980197|
Natalia|2|41581890|30229572|
Martina|6|69586942|61736135|
Sofía|21|41156237|65214997|
Natalia|23|58485003|60486682|
Emiliano|59|61616003|56592247|
Andrea|75|256039|48460693|
Alejandra|66|66083490|22614846|
Martina|8|66406031|13487702|
Ximena|26|13696902|40881533|
Diego|76|28062776|7266246|
Paula|5|24132603|60472134|
Daniela|9|26123407|61403301|
Carlos|8|45962427|66735509|
Victoria|64|27375183|3832448|
Isabella|33|41072636|84574604|
Mía|24|50402417|78184909|
Isabella|42|46848714|23978327|
Andrea|25|47770961|87125577|
Alejandra|42|14186767|53754454|
Emily|42|31817398|19047072|
Nicole|1|55894124|19905213|
Samuel|13|46123608|82955860|
Diego|60|71037893|30806|
Alexander|74|24510340|19790008|
Sebastián|65|55327742|41099339|
Joaquín|42|24141649|33866518|
Victoria|54|71662525|85915045|
Camila|10|13150301|81860115|
María|18|75654784|22612950|
Samuel|48|79847715|65227262|
Gabriela|63|39316347|55809799|
Regina|33|34443192|75982820|
Alejandro|14|1924574|74773111|
Regina|78|50980091|87850780|
Nicole|66|67691277|35956829|
Lucas|57|20038096|81748554|
Andrea|25|74460537|7936319|
Carlos|0|24846132|31729969|
Alexander|15|23033227|8049573|
Alejandro|54|1306729|36378318|
Daniela|26|49823434|59220629|
Victoria|46|68871959|4272284|
Natalia|25|25053101|36029980|
Alejandro|66|65131368|55105789|
Mía|57|42192342|60373452|
Ximena|12|72616861|50892678|
Camila|57|22190909|59524596|
Samantha|14|13845468|73916506|
Lucas|51|60753271|2175830|
Samantha|27|39069129|70310597|
Emily|79|6806403|83075476|
Diego|17|72591020|29264197|
Natalia|33|44560854|79036117|
Regina|56|49731898|74595954|
Carlos|10|65272679|12260777|
Camila|38|44884953|61695343|
Natalia|57|3832103|46699549|
Daniela|48|23697070|22415595|
Sebastián|15|7586514|78705593|
Nicole|72|9694980|27810420|
Matías|65|19349082|64450731|
Mía|25|18594563|84900415|
Andrea|10|3247950|19876952|
Victoria|46|60285590|73125436|
Paula|42|51932029|39208027|
Gabriela|12|37632557|64575892|
Andrés|26|54484991|78287084|
Natalia|33|37143210|28522988|
María|18|58469626|34568263|
Emiliano|3|6413854|56107013|
Andrés|72|48770803|14685739|
Nicole|3|7882605|7932705|
Emily|11|48895695|37832221|
Mía|19|9520109|31776907|
Lucía|10|69901509|2851945|
Mía|49|46117301|16611103|
Natalia|21|1126357|31668018|
Regina|38|171475|77820256|
Daniel|48|68441916|11189940|
Camila|11|1514198|68097869|
Paula|42|59880729|5304805|
Andrés|22|53221215|22510457|
Andrea|78|35622825|47479773|
Lucas|54|12215272|55418198|
Alejandro|9|64949114|78795854|
Joaquín|60|11718248|72045330|
Sebastián|24|11115341|50805061|
Emily|17|49105262|87527238|
Isabella|42|2130260|8708764|
Ximena|31|11603996|20786056|
Andrés|22|58932897|52752670|
Joaquín|42|57343276|77383814|
Nicole|37|8683814|52422870|
Santiago|29|72425112|68799273|
Matías|29|17102726|16050254|
Isabella|58|68093898|16182806|
Sebastián|6|71976178|30523679|
Emiliano|8|51530322|52685128|
Gabriela|35|8499608|29138934|
Sara|39|42204525|52431265|
Mariana|17|55640779|82419914|
Emily|51|7398639|32025845|
Lucas|56|34363266|18955754|
Valentina|78|50094702|51558343|
Mariana|69|28850557|27937256|
Camila|33|70831989|59447303|
Lucía|48|57289559|70309272|
Alexander|23|73173887|6222907|
Samantha|79|24923131|23292330|
Sara|52|32366233|56466929|
María|36|13948734|40739810|
Tomás|11|46581002|36845523|
Emiliano|34|55648266|27903311|
Gabriel|79|67517111|65408381|
Samantha|76|16563203|40316184|
David|71|30654113|53925256|
